,0,1,2,3
441,CXV_132,when,1269-08-21,fol_225r
442,CXXII_139,when,1269-08-21,fol_228r
443,CVI_123,when,1269-08-30,fol_221r
444,DXV_476,from,1269-09-18,fol_384r
445,LX_87,when,1269-11-05,fol_189r
446,CXXIIII_141,when,1269-12-09,fol_229r
447,CCCXXIII_285,when,1270-03-15,fol_295r
448,CCCXXIII_285_old,when,1270-03-15,fol_295r
449,CCXXXV_196,when,1270-05-24,fol_257r
450,LXXXXIII_110,when,1270-11-21,fol_208v
451,LXXXXII_109,when,1270-11-21,fol_207v
452,CLXV_523,when,1271-02-06,fol_411r
453,CLXIII_521,when,1271-02-22,fol_409r
454,CLXIIII_522,when,1271-04-30,fol_410v
455,CLXVI_524,when,1271-05-05,fol_412v
456,CCCLIII_315,when,1271-06-10,fol_308v
457,CCCXL_302,when,1271-06-10,none
458,CCCXVIII_280,when,1271-06-10,none
459,CCCLXXXXVIII_359,when,1271-08-12,fol_322v
460,C13,when,1272-04-03,fol_039r
461,XIIII_43,when,1273-04-04,fol_063r
462,C03,from,1273-04-25,fol_031v
463,C06,from,1273-04-25,fol_034v
464,C11,from,1273-04-25,fol_036r
465,C12,from,1273-04-25,fol_038v
466,C16,from,1273-04-25,fol_040v
467,C18,from,1273-04-25,fol_041v
468,C19,from,1273-04-25,none
469,CCCXX_282,when,1273-05-08,none
470,C24,when,1274-06-22,fol_047r
471,C10,from,1275-01-01,none
472,G528,from,1275-05-01,fol_425v
473,H529,from,1275-05-01,fol_426r
474,C05,from,1275-05-14,fol_033r
475,CLVII_175,when,1275-08-26,fol_248r
476,XL_69,when,1276-02-14,fol_131v
477,C21,when,1276-10-16,fol_042r
478,C22,when,1276-10-16,none
479,CCCCLXXXVII_448,when,1277-01-18,fol_368v
480,CCXVI_177,when,1277-02-12,fol_249r
481,LXXXII_99,when,1277-04-12,fol_201v
482,LXXXI_98,when,1277-05-13,fol_200r
483,C14,when,1277-08-08,fol_039v
484,C15,when,1277-08-08,fol_040r
485,CCCLXXI_333,when,1277-08-09,fol_313r
486,CCXLVI_207,when,1278-03-16,fol_262r
487,LI_LII_79,when,1278-09-03,fol_146v
488,CCCCLXXXIIII_446,from,1278-11-01,fol_367r
489,CCCLXXII_334,when,1279-01-01,none
490,DXVIII_479,when,1279-02-17,fol_385v
491,DXVIIII_480,when,1279-02-18,none
492,DXX_481,when,1279-02-19,fol_386r
493,DXXII_483,when,1279-02-21,fol_387v
494,DXXI_482,when,1279-02-21,fol_386v
495,DXXV_486,from,1279-02-21,none
496,LXXXXVIII_115,when,1279-04-19,fol_212r
497,CCCCVII_368,when,1279-07-30,fol_328v
498,C17,when,1279-11,fol_041r
499,C04,from,1279-12-12,fol_032v
500,CCXLVII_208,when,1280-03-15,none
501,CXXVI_143,when,1281-02-02,fol_230v
502,DXXIII_484,when,1281-05-06,fol_389r
503,DXXIIII_485,when,1281-05-08,fol_390r
504,DXXVI_487,from,1281-05-09,fol_392r
505,LXXXXVI_113,when,1282-12-27,none
506,LXXXXV_112,when,1282-12-27,fol_209v
507,CCCCIII_364,when,1283-07-20,fol_325r
508,CCCCII_363,when,1283-07-20,fol_324r
509,CCCII_264,when,1283-09-12,fol_284v
