,0,1,2,3,4,5,6,7,8,9
42,Actocaninus,Actocaninus / Actocanninus,,M,,Per questa forma antroponimica si veda ,CLVII_175,1275-08-26,2,"['CLVII_175', 'B02']"
43,Adalasia,Adalasia,,F,,,CCCXLVII_309,1215-02-24,3,"['CCCXLVII_309', 'C03', 'G528']"
44,AdalasiaLommannete,Adalasia,quondam Lommannete,F,,,CCCXLVII_309,1215-02-24,1,['CCCXLVII_309']
45,Adalgrinus,Adalgrinus,,M,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
46,Adalbertinus,Adalbertinus / Adelbertinus / Aldebertinus,,M,,,DVI_467,1255-03-16,3,"['DVI_467', 'CXXIII_140', 'XXVII_56']"
47,AdalbertinusCastronovo,Adalbertinus / Adelbertinus / Aldebertinus,de Castronovo,M,,,DVI_467,1255-03-16,1,['DVI_467']
48,AdelbertinusBonaiuti,Adalbertinus / Adelbertinus / Aldebertinus,quondam Bonaiuti de Puleca,M,,,CXVI_133,1235-04-02,1,['CXVI_133']
49,AdelbertinusOlive,Adalbertinus / Adelbertinus / Aldebertinus,Olive de Sarzana,M,,,LXVI_93,1255-05-16,1,['LXVI_93']
50,AdalbertinusSar,Adalbertinus / Adelbertinus / Aldebertinus,de Sarzana,M,,,CXXIII_140,1269-05-30,1,['CXXIII_140']
51,AdalbertinusTrazerii,Adalbertinus / Adelbertinus / Aldebertinus,Trazerii quondam Ghysle,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
52,Adalbert,Adalbert / Adalbertus / Adelbertus / Aldebertus,,M,,,CCCCXLI_402,0950-01,10,"['CCCCXLI_402', 'XVIII_47', 'CCCCLXXXVIII_449', 'L_78', 'DXXVII_488', 'XXXV_64', 'LVIII_85', 'DVI_467', 'CXXIII_140', 'XXVII_56']"
53,AdalbertusEpi,Adalbert / Adalbertus / Adelbertus / Aldebertus,,M,sancte Lunensis ecclesie episcopus,"Adalberto vescovo di Luni, attestato dal gennaio 950 al 19 maggio 963. Il 25
              aprile 967, al concilio di Ravenna, è presente un vescovo ",CCCCXLI_402,0950-01,2,"['CCCCXLI_402', 'XVIII_47']"
54,Adalbertusmar,Adalbert / Adalbertus / Adelbertus / Aldebertus,,M,dux et comes,"Adalberto I, marchese di Toscana, attestato dall'846 all'884. Bibliografia: ",DXXVII_488,1181-04-16,1,['DXXVII_488']
55,Adalbertus_nobilis,Adalbert / Adalbertus / Adelbertus / Aldebertus,,M,nobilis,,LVIII_85,1254-07-29,1,['LVIII_85']
56,Adelbertuspres,Adalbert / Adalbertus / Adelbertus / Aldebertus,,M,presbyter,,CCCCLXXXVIII_449,1039-09-04,1,['CCCCLXXXVIII_449']
57,AdalbertusAttho_marchio,Adalbert / Adalbertus / Adelbertus / Aldebertus,,M,marchio,"Adalberto Azzo II, obertengo, figlio di Adalberto Azzo I e nipote di Oberto II,
              considerato capostipite degli Estensi, morto nel 1097 (",L_78,1124-10-18,1,['L_78']
58,AldebertusFulcerio,Adalbert / Adalbertus / Adelbertus / Aldebertus,de Fulcerio,M,,,DXVII_478,1181-10-17,1,['DXVII_478']
59,AldebertusMainerii,Adalbert / Adalbertus / Adelbertus / Aldebertus,quondam Manerii de Cobia,M,,,CCCCLXVbis_427,1253-03-25,2,"['CCCCLXVbis_427', 'CCCCLXVI_428']"
60,AldebertusPrimo,Adalbert / Adalbertus / Adelbertus / Aldebertus,de P(ontremul)o filius quondam Ti.,M,,,CCCCLXXI_433,1182-01-07,1,['CCCCLXXI_433']
61,AldebertusZanforni,Adalbert / Adalbertus / Adelbertus / Aldebertus,nepos Çanforni,M,,,CXXXVI_153,1231-10-31,1,['CXXXVI_153']
62,AdornellusPaganini,Adornellus,Paganini,M,,,LI_LII_79,1278-09-03,1,['LI_LII_79']
63,Adduxellus,Adduxellus,,M,,,C03,1273-04-25,1,['C03']
64,Adiutellus,Adiutellus / Aiutellus,,M,,,none,none,0,[]
65,AiutellusBonaiuti,Adiutellus / Aiutellus,Bonaiuti,M,,,CXIIII_131,1232-08-14,1,['CXIIII_131']
