,0,1,2,3,4,5,6,7,8,9
585,Arduinuscons,Arduinus / Harduinus / Ardoinus / Ardouinus,,M,consul Carrarie,,CCCXII_274,1235-05-22,1,['CCCXII_274']
586,Arduinus_cardinalis,Arduinus / Harduinus / Ardoinus / Ardouinus,,M,presbyter cardinalis tituli Sancte Crucis in Ierusalem,"Arduino da Piacenza, creato prete cardinale di S. Croce in Gerusalemme nel 1178,
              morto intorno al 1184 (",XVI_45,1179-04-25,1,['XVI_45']
587,Arduinusferr,Arduinus / Harduinus / Ardoinus / Ardouinus,,M,ferrarius,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
588,ArduinusCuffus,Arduinus / Harduinus / Ardoinus / Ardouinus,Çuffus,M,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
589,ArduinusGuideti,Arduinus / Harduinus / Ardoinus / Ardouinus,filius Guideti,M,,,CCCLXXV_337,1199-01-01,1,['CCCLXXV_337']
590,HarduinusGiberti,Arduinus / Harduinus / Ardoinus / Ardouinus,de Herberia filius quondam Giberti de Herberia,M,,,CCXXVII_188,1189-05-01,1,['CCXXVII_188']
591,ArdoinusBastardi,Arduinus / Harduinus / Ardoinus / Ardouinus,filius quondam Bastardi Brunetti,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
592,ArdoinusPrato,Arduinus / Harduinus / Ardoinus / Ardouinus,de Prato,M,,,DIIII_465,1211-08-08,1,['DIIII_465']
593,ArduinusPetrognano,Arduinus / Harduinus / Ardoinus / Ardouinus,de Petrognano / de Carraria,M,dominus,,CCCXXXIII_295,1233-04-06,5,"['CCCXXXIII_295', 'CCCXXX_292', 'CCCXXXVII_299', 'C25', 'CCCLXXXI_343']"
594,ArduinusRainaldini,Arduinus / Harduinus / Ardoinus / Ardouinus,quondam Rainaldini de La Piaça,M,,,CCCCXLVIII_409,1235-05-31,1,['CCCCXLVIII_409']
595,ArduinusVallecla,Arduinus / Harduinus / Ardoinus / Ardouinus,de Vallecla filio quondam Bononi,M,,,CCCXIIII_276,1180-11-12,1,['CCCXIIII_276']
596,ArdoinusViano,Arduinus / Harduinus / Ardoinus / Ardouinus,de Viano,M,,,DXXIII_484,1281-05-06,1,['DXXIII_484']
597,ArdoinusViviani,Arduinus / Harduinus / Ardoinus / Ardouinus,quondam Viviani,M,,,LXXXVIIII_106,1257-03-06,1,['LXXXVIIII_106']
598,ArengusBonafidei,Arengus,filius Bonafidei de Castronovo quondam Aldebertini,M,,,CCLXXXVI_248,1236-08-18,1,['CCLXXXVI_248']
599,Aribertus_cardinalis,Aribertus,,M,presbyter cardinalis tituli Sancte Anastasie,Ariberto prete cardinale di S. Anastasia nel 1143. Morto intorno al 1156 (,II_31,1154-03-18,1,['II_31']
600,ArgunnitosusMoneta,Argunnitosus,de Moneta,M,,,CCCII_264,1283-09-12,1,['CCCII_264']
601,Arientus,Arientus,,M,,,XXXV_64,1231-03-30,1,['XXXV_64']
602,Arinbaldus,Arinbaldus,,M,,,XXXV_64,1231-03-30,1,['XXXV_64']
603,Arlotus,Arlotus / Arlottus / Arloctus,,M,,,DXXV_486,1279-02-21,1,['DXXV_486']
604,ArloctusPalude_not,Arlotus / Arlottus / Arloctus,de Palude,M,sacri palacii notarius,,LIII_80,1219-03-08,4,"['LIII_80', 'DXLIIIIbis_506', 'DXLIIII_505', 'DXLIII_504']"
605,Armannetus,Armannetus,,M,,,CCCCXL_401,1230-04-30,1,['CCCCXL_401']
606,ArmanninaFal,Armannina,uxor Gibertini,F,domina de Falcinello,,CXXXIIII_151,1230-11-02,1,['CXXXIIII_151']
607,Armanninus,Armanninus / Armaninus,,M,,,L_78,1124-10-18,22,"['L_78', 'CCCXLVIIII_311', 'DXVI_477', 'CCXXVII_188', 'XXV_54', 'CCLXIIIIbis_226', 'LXIIII_91', 'CCLXIIII_225', 'LIIII_81', 'CCCCXL_401', 'CXI_128', 'XXVI_55', 'CCCCI_362', 'CCCVI_268', 'CCLXVI_228', 'LXXXVIIII_106', 'CCCCLXXXXIIII_455', 'CCCXIII_275', 'CCCXVIII_280', 'C03', 'G528', 'XXVII_56']"
608,ArmanninusAldebertini,Armanninus / Armaninus,quondam Aldebertini Palmerii ,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
609,ArmanninusAlberti,Armanninus / Armaninus,filius Alberti de Divicia,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
610,ArmanninusCarraria,Armanninus / Armaninus,de Carraria,M,,,DXVI_477,1160-01-26,1,['DXVI_477']
611,ArmanninusGerardi,Armanninus / Armaninus,filii comitis Gerardi de Lavangna,M,,,L_78,1124-10-18,1,['L_78']
612,ArmanninusGibertini,Armanninus / Armaninus,quondam Gibertini de Soleria,M,,,CCXXVII_188,1189-05-01,1,['CCXXVII_188']
613,ArmanninusIacobini,Armanninus / Armaninus,quondam Iacobini,M,,,CCLXVI_228,1241-03-03,1,['CCLXVI_228']
614,ArmanninusMarrocca,Armanninus / Armaninus,de Marrocca,M,,,LIIII_81,1219-05-01,1,['LIIII_81']
615,ArmanninusMichaelis,Armanninus / Armaninus,quondam Michaelis,M,,,CCCCI_362,1235-01-07,1,['CCCCI_362']
616,ArmanninusOliverio,Armanninus / Armaninus,de Oliverio,M,,,XXVI_55,1235-01-01,1,['XXVI_55']
617,ArmanninusOludarelli,Armanninus / Armaninus,de Oludarelli,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
618,ArmanninusPalmerii,Armanninus / Armaninus,quondam Palmerii / quondam Palmerii de Tribiano,M,,,LXIIII_91,1201-06-24,2,"['LXIIII_91', 'CCCCLXXXXIIII_455']"
619,ArmanninusPlebe,Armanninus / Armaninus,de Plebe,M,,,CCCXVIII_280,1271-06-10,1,['CCCXVIII_280']
620,ArmanninusPonticello,Armanninus / Armaninus,de Ponticello,M,,,C03,1273-04-25,1,['C03']
621,ArmanninusRuffineta,Armanninus / Armaninus,Ruffineta,M,,,C03,1273-04-25,2,"['C03', 'G528']"
622,ArmanninusSabbatini,Armanninus / Armaninus,quondam Sabbatini de castro Sarzane,M,,,CXI_128,1233-07-18,1,['CXI_128']
623,ArmanninusSoleria,Armanninus / Armaninus,de Soleria,M,,,CCLXIIIIbis_226,1200-01-20,1,['CCLXIIIIbis_226']
624,ArmanninusTrebiano,Armanninus / Armaninus,de Trebiano,M,,,CCLXIIII_225,1202-12-03,4,"['CCLXIIII_225', 'CCCCXL_401', 'CCCVI_268', 'LXXXVIIII_106']"
625,Armannus,Armannus,,M,,,CCXLII_203,1219-01-16,8,"['CCXLII_203', 'LIIII_81', 'CCLVIIII_220', 'CCL_211', 'C06', 'DXXIII_484', 'DXXIIII_485', 'B02']"
626,Armanusdiac,Armannus,,M,plebanus de Amelia,,CI_118,1212-04-03,1,['CI_118']
627,Armannusmagister,Armannus,,M,magister,,LIIII_81,1219-05-01,1,['LIIII_81']
628,Armannusnot,Armannus,,M,notarius,attestato nel 1219,CCXLII_203,1219-01-16,1,['CCXLII_203']
629,Armanuspres,Armannus,,M,presbyter,,CCCCLIII_414,1234-11-29,1,['CCCCLIII_414']
630,ArmannusIovello,Armannus,de Iovello,M,,,CCLVIIII_220,1231-09-05,2,"['CCLVIIII_220', 'CCL_211']"
631,ArmannusMantuanusnot,Armannus,dictus Mantuanus de Mantua,M,publicus notarius,Attestato nel 1281,DXXIII_484,1281-05-06,2,"['DXXIII_484', 'DXXIIII_485']"
632,Armingardina,Armingardina,,F,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
633,Armniardula,Armniardula,,F,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
634,Arnaldus,Arnaldus,,M,,,CI_118,1212-04-03,2,"['CI_118', 'CXVIIII_136']"
635,ArnaldusUgolini,Arnaldus,quondam Ugolini,M,operarius de curte Sarzane,,CI_118,1212-04-03,1,['CI_118']
636,ArnandusCast,Arnaldus,de Castello,M,,,CXXVII_144,1235-08-18,1,['CXXVII_144']
637,ArnulfusSilveradi,Arnulfus,filio bone memorie Silveradi,M,,,CCCCXLI_402,0950-01,1,['CCCCXLI_402']
638,Arpinus,Arpinus,,M,,,C03,1273-04-25,1,['C03']
639,Asaldinus,Asaldinus,,M,,,C03,1273-04-25,1,['C03']
640,AssalitusTiniosi,Assalitus,quondam Tiniosi de Sancto Stephano,M,,,CI_118,1212-04-03,2,"['CI_118', 'LIII_80']"
641,Arrigutius,Arrigutius / Arrigucius,,M,,Per questa forma antroponimica si veda ,none,none,0,[]
642,Arrigus,Arrigus,,M,,Per questa forma antroponimica si veda ,CCCCXXXIIII_395,1257-06-08,2,"['CCCCXXXIIII_395', 'CXXXVIIII_156']"
643,AstexanusTorano,Astexanus,de Torano,M,,,CCCII_264,1283-09-12,1,['CCCII_264']
644,Attegneça,Attegneça / Attegnaeça / Attegrançe,,M,,,C03,1273-04-25,2,"['C03', 'G528']"
645,AttegneçaGuidolini,Attegneça ,quondam Guidolini,M,,,C03,1273-04-25,2,"['C03', 'G528']"
646,Azo,Atto / Azo / Aço / Azzo,,M,,,CCCCLXXXVIII_449,1039-09-04,12,"['CCCCLXXXVIII_449', 'CCLXXXXVI_258', 'CCCXXIIII_286', 'CCCCVIIII_370', 'CCXXVI_187', 'CCXXV_186', 'CCXXIII_184', 'CCCCLXXI_433', 'CCLVI_217', 'CCCCLXXXXII_453', 'CCCCXXX_391', 'DXXIIII_485']"
647,Atto_abbas,Atto / Azo / Aço / Azzo,,M,Sextensis abbas,,DXXVII_488,1181-04-16,2,"['DXXVII_488', 'DXXXI_492']"
648,Atto_archipresbyterMin,Atto / Azo / Aço / Azzo,,M,archipresbyter de Minileva,,DLII_514,1238-02-06,1,['DLII_514']
649,Azofra,Atto / Azo / Aço / Azzo,,M,monacus Sancti Stephani Ianuensis,,DXXIIII_485,1281-05-08,1,['DXXIIII_485']
650,Azoiud,Atto / Azo / Aço / Azzo,,M,advocatus,,CCLXXXXVI_258,1055-05-05,3,"['CCLXXXXVI_258', 'CCCXXIIII_286', 'CCCCLXXXXII_453']"
651,Azopre,Atto / Azo / Aço / Azzo,,M,prepositus,,CCCCLXXXVIII_449,1039-09-04,1,['CCCCLXXXVIII_449']
652,Azovic,Atto / Azo / Aço / Azzo,,M,vicedominus episcopi,,CCCCXXX_391,1224-09-21,1,['CCCCXXX_391']
653,AzoBurgundius,Atto / Azo / Aço / Azzo,Burgundius,M,,,CCLXXXXVI_258,1055-05-05,1,['CCLXXXXVI_258']
654,AttoCampigiola,Atto / Azo / Aço / Azzo,de Campiliola,M,"canonicus plebis de Campiliola, subdelegatus domini episcopi
              Terronensis",,DLVbis_518,1237-03-05,4,"['DLVbis_518', 'DLII_514', 'DLV_517', 'DXLVII_509']"
655,AttoCasellis,Atto / Azo / Aço / Azzo,de Casellis,M,dominus,,DXLIIIIbis_506,1237-06-12,4,"['DXLIIIIbis_506', 'DXLIIII_505', 'DXLIII_504', 'A01']"
656,AzoCerroAlto,Atto / Azo / Aço / Azzo,de Cerro Alto,M,,,CCXXVI_187,1078-06-14,2,"['CCXXVI_187', 'CCXXV_186']"
657,AzoCompagni,Atto / Azo / Aço / Azzo,filius quondam Compagni,M,,,CCCXXIIII_286,1070-03-08,1,['CCCXXIIII_286']
658,AttoFaucenova,Atto / Azo / Aço / Azzo,de Faucenova / de Fosdenova / filius quondam Guilielmi,M,dominus,,DVII_468,1181-03-07,14,"['DVII_468', 'DXVII_478', 'CCCCLXXXXVIII_459', 'CCCCLXXXXVIIII_460', 'CCCLVI_318', 'LXXXVII_104', 'LXXXX_107', 'DXXXX_501', 'CCCCLVI_417', 'CCCCXXXVIII_399', 'DIIII_465', 'DXIII_474', 'CCCCLV_416', 'B02']"
659,AttoIustamontis,Atto / Azo / Aço / Azzo,quondam Iustamontis de Trebiano,M,,,CCCCXXXVIII_399,1203-08-17,1,['CCCCXXXVIII_399']
660,AzoGerardi,Atto / Azo / Aço / Azzo,filius Gerardi de Carraria,M,,,CCCXXIIII_286,1070-03-08,1,['CCCXXIIII_286']
661,AzoGragnano,Atto / Azo / Aço / Azzo,de Grangnano,M,,,CCXXV_186,1078-06-14,1,['CCXXV_186']
662,AçoMalaspina,Atto / Azo / Aço / Azzo,Malaspina,M,marchio,"Azzo Malaspina, figlio di Isnardo, nipote del capostipite dello Spino Fiorito
              Opizzino.",D27,1297-11-10,1,['D27']
663,AttoRibello,Atto / Azo / Aço / Azzo,de Ribello,M,,,DXVII_478,1181-10-17,1,['DXVII_478']
664,AzoVillani,Atto / Azo / Aço / Azzo,filius Villani,M,,,CCXXIII_184,1084-06,1,['CCXXIII_184']
665,AttocanisBibola,Attocanis / Attocaninus / Actocani,de Bibola,M,dominus,,CLXVII_525,1255-03-04,3,"['CLXVII_525', 'CCCCXXXIIII_395', 'B02']"
666,Attocaninus,Attocaninus / Actocaninus / Actocanninus,,M,,,CLXVIII_526,1247-04-07,6,"['CLXVIII_526', 'CLVIII_176', 'CLXVII_525', 'CLXIII_521', 'CLXIIII_522', 'CLXVI_524']"
667,ActocaninusMasio,Attocaninus / Actocaninus / Actocanninus,de Masio,M,,,CLVII_175,1275-08-26,2,"['CLVII_175', 'B02']"
668,AttocaninusParentis,Attocaninus / Actocaninus / Actocanninus,filius quondam domini Parentis de Terra Rossala,M,dominus,,CLXVIII_526,1247-04-07,6,"['CLXVIII_526', 'CLVIII_176', 'CLXVII_525', 'CLXIII_521', 'CLXIIII_522', 'CLXVI_524']"
669,AttobonusTregani,Attobonus ,quondam Tregani ,M,,,C06,1273-04-25,1,['C06']
670,Attolinus,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",,M,,,CCCCLXXI_433,1182-01-07,50,"['CCCCLXXI_433', 'CCCLXI_323', 'CCCLXII_324', 'CCCCLXXXXI_452', 'CCXXXVIIII_200', 'CCXXXVIIII_200', 'DIIII_465', 'CI_118', 'LIIII_81', 'CCCCLXXIII_435', 'CCCCLXXXIII_435', 'CIV_121', 'CXLVIIII_167', 'CCCCXXX_391', 'CCCCXIII_374', 'DII_463', 'LXVII_94', 'CCCCXXXXII_403', 'CCCLI_313', 'CXXXIIII_151', 'DXII_473', 'CCL_211', 'CXXXVI_153', 'CCLIII_214', 'CXVIIII_136', 'CCCXI_273', 'CCCLXXXXV_356', 'CCCCXXXVIIII_400', 'CII_119', 'CCCXII_274', 'CCCCXXXXVII_408', 'CCCCXXXXIII_404', 'CCLXVI_228', 'XXXXV_73', 'CLXVIII_526', 'CLXVII_525', 'CCLXXXVIIII_251', 'CCCCV_366', 'CCLXXXII_244', 'CCLXXXI_243', 'CCCCXXVIII_389', 'CXV_132', 'LX_87', 'C13', 'C03', 'C06', 'G528', 'XXVII_56', 'CCCCLXXXVIIII_450', 'CCCCLXXXVIII_450']"
671,Accolinus_becarius,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",,M,becarius,,XXVIII_57,1269-06-08,1,['XXVIII_57']
672,Attolinus_dominus,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",,M,consiliarius Sarzane,,XXXXV_73,1245-02-28,1,['XXXXV_73']
673,Attolinuscast,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",,M,castaldus,,CIV_121,1222-05-15,1,['CIV_121']
674,Attolinuscons,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",,M,consiliarius Carrarie,,CCCXII_274,1235-05-22,1,['CCCXII_274']
675,Attolinusnot,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",,M,sacri palatii notarius,Attestato dal 1228 al 1273.,DII_463,1228-05-17,6,"['DII_463', 'CCL_211', 'CCLXVI_228', 'CCLXXXII_244', 'CCLXXXI_243', 'C06']"
676,AttolinusAlberti,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam domini Alberti dicti Mascardi de Trebiano,M,,,CCLXXXVIIII_251,1255-05-05,2,"['CCLXXXVIIII_251', 'LX_87']"
677,AttolinusAlbertini,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Soleria quondam Albertini,M,,,LX_87,1269-11-05,1,['LX_87']
678,AttolinusAttocanini,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam domini Attocanini de Bibola ,M,,,CLXVIII_526,1247-04-07,2,"['CLXVIII_526', 'CLXVII_525']"
679,AttolinusArmannini,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Armannini de Carraria,M,,,CCCLXII_324,1190-02-11,1,['CCCLXII_324']
680,AttolinusBandini,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Bandini / quondam Bandini de castro Sarzane,M,consiliarius castri Sarzane,,DIIII_465,1211-08-08,9,"['DIIII_465', 'CXLVIIII_167', 'CCCCXXX_391', 'LXVII_94', 'CXVIIII_136', 'CII_119', 'CCCCXXXXVII_408', 'C03', 'G528']"
681,AttolinusBelloti,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Belloti de Miselia,M,,,CCCLI_313,1230-10-13,1,['CCCLI_313']
682,AccolinusBonencontri,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Bonencontri de Panicali,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
683,AccolinusBosatis,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",Bosatis,M,,,LI_LII_79,1278-09-03,1,['LI_LII_79']
684,AzzolinusBrasile,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Brasile,M,,,XXIIII_53,1176-04-13,1,['XXIIII_53']
685,AttolinusCacti,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ","Cactii de Sarzana / quondam Catii de Sarzana / quondam Caccii /quondam Caccii
                de burgo Sarzane / de Cacio / de Caçio / de Caccio / Cacii",M,consul de Sarzana,,LIIII_81,1219-05-01,12,"['LIIII_81', 'CCCCLXXIII_435', 'CCCCLXXXIII_435', 'CCCCXXXXII_403', 'CXXXIIII_151', 'DXII_473', 'CXXXVI_153', 'CCLIII_214', 'CCCXI_273', 'CCCLXXXXV_356', 'CCCCXXXVIIII_400', 'CCCCXXXXIII_404']"
686,AccolinusCollechio,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Collechio,M,presbyter,,XXVIII_57,1269-06-08,1,['XXVIII_57']
687,AttolinusCordula,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Cordula,M,,,CCCCXXVIII_389,1266-08-22,1,['CCCCXXVIII_389']
688,AttolinusFrandaloni,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",Frandalonis,M,,,CXV_132,1269-08-21,4,"['CXV_132', 'C03', 'G528', 'XXVII_56']"
689,AttolinusGroppo,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Groppo Sancti Petri,M,,,CCCCLXXI_433,1182-01-07,1,['CCCCLXXI_433']
690,AttolinusGualdo,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Gualdo / Gualdi,M,operarius de curte Sarzane,,CI_118,1212-04-03,4,"['CI_118', 'C03', 'G528', 'XXVII_56']"
691,AttolinusIustamontis,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Iuxtamontis / quondam Iustamontis,M,,,CCCLXI_323,1189-03-20,1,['CCCLXI_323']
692,AttolinusMalliola,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Malliola,M,,,CCCCXIII_374,1227-03-14,1,['CCCCXIII_374']
693,AzolinusPicenini,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Posticio filius condam Picenini,M,,,CCCCLXXI_433,1182-01-07,1,['CCCCLXXI_433']
694,AzzolinusPlaza,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Plaza,M,,,XXIIII_53,1176-04-13,1,['XXIIII_53']
695,AttolinusOpiçonis,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Opiçonis de Pilodericio de Soleria,M,,,none,none,0,[]
696,AttolinusRapelli,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",Rapelli,M,,,C13,1272-04-03,1,['C13']
697,AttolinusSymonis,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Symonis ,M,,,CCXXXVIIII_200,1197-12-11,3,"['CCXXXVIIII_200', 'CCXXXVIIII_200', 'C06']"
698,AttolinusSymonisnot,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",quondam Symonis de Soleria,M,sacri palatii notarius,attestato in una autentica non datata posteriore al 1197.,CCXXXVIIII_200,1197-12-11,2,"['CCXXXVIIII_200', 'CCXXXVIIII_200']"
699,AtolinusSucciso,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Succiso,M,,,C03,1273-04-25,2,"['C03', 'G528']"
700,AttolinusCarTrebiano,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",frater Cardini,M,dominus de Trebiano,,CCCCLXXXVIIII_450,1285-04-29,2,"['CCCCLXXXVIIII_450', 'CCCCLXXXVIII_450']"
701,AtçolinusTerria,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Terria,M,,,CCLIIII_215,1232-09-10,1,['CCLIIII_215']
702,AzzolinusVicerolo,"Attolinus / Atolinus / Atçolinus / Azolinus / Azzolinus / Accolinus /
                Acsolinus ",de Vicerolo / de Visirolo,M,,,XXIIII_53,1176-04-13,2,"['XXIIII_53', 'XXV_54']"
703,Attonus,Attonus,,M,,,CCCCXL_401,1230-04-30,1,['CCCCXL_401']
704,Audixia,Audixia,uxor Vivaldeti,F,,,CCXXII_183,1255-04-15,1,['CCXXII_183']
705,Agustinus,Augustinus / Agustinus,,M,,,CCCXLVIIII_311,1150-01-01,5,"['CCCXLVIIII_311', 'CCCXLVI_308', 'CCCCXI_372', 'CCCXVI_278', 'XXXV_64']"
706,AgustinusGuilincionis,Augustinus / Agustinus,de loco dicto Peretolo filius quondam Guilicionis,M,,,CCCCXI_372,1202-06-09,1,['CCCCXI_372']
707,AgustinusMartinelli,Augustinus / Agustinus,quondam Martinelli,M,,,CCCXVI_278,1230-06-01,1,['CCCXVI_278']
708,AgustinusTermeselli,Augustinus / Agustinus,Termeselli / Tremecellus,M,,,CCCXLVIIII_311,1150-01-01,2,"['CCCXLVIIII_311', 'CCCXLVI_308']"
709,Augustus,Augustus,,M,,,LIIII_81,1219-05-01,3,"['LIIII_81', 'CVI_123', 'LXXXXII_109']"
710,Augustuscorr,Augustus,,M,correrius,,CVI_123,1269-08-30,2,"['CVI_123', 'LXXXXII_109']"
711,Auriculamuza,Auriculamuza,,M,,,XXIIII_53,1176-04-13,1,['XXIIII_53']
712,AudoinusGiberte,Audoinus,Giberte,M,,,LI_LII_79,1278-09-03,1,['LI_LII_79']
713,AudoinusfraterTirisendi,Audoinus,frater Tirisendi,M,,,C11,1273-04-25,1,['C11']
714,AvedutaGuilielmini,Aveduta,filia quondam Guilielmini,F,,,C03,1273-04-25,2,"['C03', 'G528']"
715,AvenantisMartini,Avenantis,quondam Martini Galline,M,,,G528,1275-05-01,1,['G528']
716,Averalus,Averalus,,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
717,AverinusGeri,Averinus,Geri,M,,,LI_LII_79,1278-09-03,1,['LI_LII_79']
718,AveroysiusIacopini,Averoysius,quondam magistri Iacopini de Feleteraria,M,,habitator Sarzane,LXXXXVIIII_116,1283-11-25,1,['LXXXXVIIII_116']
719,AvitellusBonaiuti,Avitellus,quondam Bonaiuti,M,,,CXXXI_148,1140-02,1,['CXXXI_148']
720,Avitus,Avitus,,M,,,CCCLVIII_320,1232-11-30,7,"['CCCLVIII_320', 'C03', 'G528', 'DXXII_483', 'DXXI_482', 'DXXV_486', 'XXVII_56']"
721,Avitus_presbyter,Avitus,,M,presbyter,,XXVII_56,1285-01-01,1,['XXVII_56']
722,AvitusCiserani,Avitus,quondam Ciserani,M,consul communis et universitatis et hominum de Brina,,DXXI_482,1279-02-21,1,['DXXI_482']
723,AvitusCigorini,Avitus,Cigorini,M,consul communis Brine,,DXXII_483,1279-02-21,1,['DXXII_483']
724,AvitusRonci,Avitus,Ronci de Luna,M,,,C03,1273-04-25,2,"['C03', 'G528']"
725,AvitusSVitali,Avitus,de Sancto Vitali,M,castaldus curie marchionis Sardi,,CCCLVIII_320,1232-11-30,1,['CCCLVIII_320']
726,AvoguadrusSarzana,Avoguadrus / Advocadri,de Sarzana,M,,,LXII_89,1199-11-30,1,['LXII_89']
727,Azo1,Azo / Azzo,,M,,Per questa forma antroponimica si veda ,none,none,0,[]
728,Azolinus,Azolinus,,M,,Per questa forma antroponimica si veda ,CCCCLXXI_433,1182-01-07,1,['CCCCLXXI_433']
729,Azoansaldus,Azoansaldus,,M,,,CCLXXXXVI_258,1055-05-05,1,['CCLXXXXVI_258']
730,BSarzana,B.,de Sarzana,M,,,CCCCLXXI_433,1182-01-07,1,['CCCCLXXI_433']
731,Bacarellus,Bacarellus,,M,,,XXIIII_53,1176-04-13,1,['XXIIII_53']
732,Bacchonus_becarius,Bacconus / Bacchonus,,M,becarius,,XXVIII_57,1269-06-08,1,['XXVIII_57']
733,BacconusAbraçatoris,Bacconus / Bacchonus / Bachonus,Abraçatoris / filius quondam Abraciatoris,M,,,LI_LII_79,1278-09-03,2,"['LI_LII_79', 'XXVII_56']"
734,BacconoSymonis,Bacconus / Bacchonus,Symonis Bacconis,M,,,CCCCLXXVIIII_441,1252-10-06,1,['CCCCLXXVIIII_441']
735,Badinus,Badinus,,M,,,CCCXLVI_308,1200-01-01,1,['CCCXLVI_308']
736,Bagnonus,Bagnonus,,M,,,CCCCXXXVII_398,1230-06-20,1,['CCCCXXXVII_398']
737,Baisa_Caisum,Baisa Caisum,,M,,,CCCXLVIIII_311,1150-01-01,1,['CCCXLVIIII_311']
738,BalbarinusOliverii,Balbarinus,quondam Oliverii de Ghyttone,M,,,XXVII_56,1285-01-01,1,['XXVII_56']
739,BalçanusBott,Balzanus / Balçanus,Bottacungo,M,dominus de Falcinello,,CXXXVI_153,1231-10-31,1,['CXXXVI_153']
740,BalçanusSar,Balzanus / Balçanus,de castro Sarzani,M,,,CCLI_212,1197-12-12,2,"['CCLI_212', 'CCXL_201']"
741,Baldança,Baldancia / Baldantia / Baldança,,M,,,C03,1273-04-25,2,"['C03', 'G528']"
742,Baldanzacan,Baldancia / Baldantia / Baldança,,M,cantor,,LVI_83,1201-06-04,4,"['LVI_83', 'CXLIII_161', 'LXIIII_91', 'LXXXVIII_105']"
743,BaldanzaMicheletti,Baldancia / Baldantia / Baldança,de Torano quondam Micheleti / quondam Michilleti,M,,,CCCXV_277,1255-09-09,2,"['CCCXV_277', 'A01']"
