,0,1,2,3,4,5,6,7
20,Groppo_Sancti_PetriFamilia,"Groppo Sancti Petri, domini de",Consorzio familiare dei domini di Groppo San Pietro.,,DXXXX_501,1202-05-31,1,['DXXXX_501']
21,MalaspinaFamilia,"Malaspina, marchiones de","Famiglia marchionale, ramo degli Obertenghi.","#AçoMalaspina, #AlbertusMalaspina1, #AlbertusMalaspina, #AlbertusMalaspina3, #AlbertusMalaspina4, #BernabosMalaspina, #ConradusMalaspina, #ConradusMalaspina2, #FrancieschinusMalaspina, #FranciscusMalaspina, #GabrielMalaspina, #GuililemusMalaspina, #ManfredusMalaspina, #Morruellusvic, #MoroellusMalaspina, #OpicinusMalaspina, #Sigibaldus_generMalaspine, #ThomasMalaspina, #YsnardusMalaspina, ",DXVII_478,1181-10-17,6,"['DXVII_478', 'DXXVIIII_490', 'LIII_80', 'DXV_476', 'A01', 'D27']"
22,MassaFamilia,"Massa, marchiones de","Famiglia marchionale, ramo degli Obertenghi.",,DXI_472,1197-07-15,1,['DXI_472']
23,MontemagnoFamilia,"Montemagno, domini de",Consorzio familiare dei domini di Monte Magno.,,DXXXX_501,1202-05-31,1,['DXXXX_501']
24,MoregnanoFamilia,"Moregnano, domini de",Consorzio familiare dei domini di Moregnano.,,DXXXX_501,1202-05-31,1,['DXXXX_501']
25,PallaviciniFamilia,"Palavicinorum, domus","Pallavicini, ramo degli Obertenghi.","#ObertusPelavicinus, ",E28,1487-08-09,1,['E28']
26,PeregriniFamilia,Peregrinorum,Discendenti di Peregrino de Burcione.,,DXXVI_487,1281-05-09,1,['DXXVI_487']
27,PorcariFamilia,"Porcari, domini de",Consorzio familiare dei domini da Porcari.,"#GerardusCanichia, #GuidoCanichia, #PaganellusPorcari, #UgolinusPorcari, #Tedalasius, ",C21,1276-10-16,1,['C21']
28,RognosisFamilia,Rognosis,,"#BlancusPlebe, ",C22,1276-10-16,1,['C22']
29,ToranoFamilia,"Torano, nobiles de",Famiglia dei nobili di Torano,"#GuilielmusTorano, #UbertusTorano, ",A01,1288-09-24,1,['A01']
30,TrebianoFamilia,"Trebiano, nobiles de",,,D27,1297-11-10,1,['D27']
31,UbaldischisFamilia,"Ubaldischis, de",,,B02,1289-09-24,1,['B02']
32,UbertisFamilia,"Ubertis, de",,,DXXVI_487,1281-05-09,1,['DXXVI_487']
33,VerucolaFamilia,"Verucola, domini de",Consorzio familiare dei domini della Verrucola dei Bosi.,,DXXXX_501,1202-05-31,1,['DXXXX_501']
34,VezzanoFamilia,"Vezzano, domini de",Consorzio familiare dei domini di Vezzano.,,A01,1288-09-24,2,"['A01', 'D27']"
35,VianoFamilia,"Viano dicti Blanchi, nobiles de",,,D27,1297-11-10,1,['D27']
